Word,Sub_Type,Type2,Type3,fear citizens  
vorgeblich(e|er|en|em)? (.* )?regent(en|in|innen)?,pseudo-eliten,conflictive,anti-elitism,alleged rulers  
vorgeblich(e|er|en|em)? (.* )?regierende(n|r)?,pseudo-eliten,conflictive,anti-elitism,alleged governing body
vorgeblich(e|er|en|em)? (.* )?souverän(s)?,pseudo-eliten,conflictive,anti-elitism,alleged sovereign  
vorgeblich(e|er|en|em)? (.* )?spezialist(en|in|innen)?,pseudo-eliten,conflictive,anti-elitism,alleged specialist  
vorgeblich(e|er|en|em)? (.* )?wissenschaft(l)?er(s|n|innen|in)?,pseudo-eliten,conflictive,anti-elitism,alleged scientist  
vorgeblich(e|er|en)? (.* )?fachfrau(en)?,pseudo-eliten,conflictive,anti-elitism,alleged expert woman  
vorgeblich(e|er|en)? (.* )?fachleute(n)?,pseudo-eliten,conflictive,anti-elitism,alleged experts  
vorgeblich(e|er|en)? (.* )?forschung,pseudo-eliten,conflictive,anti-elitism,alleged research  
vorgeblich(e|er|en)? (.*)medien,pseudo-eliten,conflictive,anti-elitism,alleged media  
vorgeblich(e|er|en)? (.* )?multis,pseudo-eliten,conflictive,anti-elitism,alleged multis  
vorgeblich(e|er|en)? (.*)partei(en)?,pseudo-eliten,conflictive,anti-elitism,alleged party  
vorgeblich(e|er|en)? (.* )?regierung(en)?,pseudo-eliten,conflictive,anti-elitism,alleged government  
vorgeblich(e|er|en)? (.* )?wirtschaft,pseudo-eliten,conflictive,anti-elitism,alleged economy  
vorgeblich(e|er|en)? (.* )?wissenschaft(en)?,pseudo-eliten,conflictive,anti-elitism,alleged science  
vorgeblich(e|er|es|en|em)? (.* )?konglomerat(e|es|s|en)?,pseudo-eliten,conflictive,anti-elitism,alleged conglomerate  
vorgeblich(e|er|es|en|em)? (.* )?politiker(s|n|innen|in)?,pseudo-eliten,conflictive,anti-elitism,alleged politician  
vorgeblich(e|es|en|em)? (.*)establishment(s)?,pseudo-eliten,conflictive,anti-elitism,alleged establishment  
vorgeblich(e|es|en|em)? (.* )?system(s)?,pseudo-eliten,conflictive,anti-elitism,alleged system  
vorgeblich(.*) elite(.*),zzz_none,conflictive,anti-elitism,alleged elite  
vorgeblich(.*) expert(.*),zzz_none,conflictive,anti-elitism,alleged expert  
vorgeblich(.*) finanzelite(.*),zzz_none,conflictive,anti-elitism,alleged financial elite  
vorgeblich(.*) forscher(.*),zzz_none,conflictive,anti-elitism,alleged researcher  
vorgeblich(.*) gelehrte(.*),zzz_none,conflictive,anti-elitism,alleged scholars  
vorgeblich(.*) intellektuelle(.*),zzz_none,conflictive,anti-elitism,alleged intellectuals  
vorgeblich(.*) journalismus,zzz_none,conflictive,anti-elitism,alleged journalism  
vorgeblich(.*) journalist,zzz_none,conflictive,anti-elitism,alleged journalist  
vorgeblich(.*) journalisten,zzz_none,conflictive,anti-elitism,alleged journalists  
vorgeblich(.*) journalistin(.*),zzz_none,conflictive,anti-elitism,alleged journalist  
vorgeblich(.*) kulturelite(.*),zzz_none,conflictive,anti-elitism,alleged cultural elite  
vorgeblich(.*) leistungsträger(.*),zzz_none,conflictive,anti-elitism,alleged high achiever  
vorgeblich(.*) medienvertreter(.*),zzz_none,conflictive,anti-elitism,alleged media representative  
vorgeblich(.*) politelite(.*),zzz_none,conflictive,anti-elitism,alleged political elite  
vorgeblich(.*) spezialist(.*),zzz_none,conflictive,anti-elitism,apparent specialist  
vorgeblich(.*) wirtschaftselite(.*),zzz_none,conflictive,anti-elitism,apparent economic elite  
vorgeblich(.*) wissenschafter(.*),zzz_none,conflictive,anti-elitism,apparent scientist  
vorgeblich(.*) wissenschaftler(.*),zzz_none,conflictive,anti-elitism,apparent scholarly expert  
(vor)?täuschen (.* )?fachleute,unaufrichtige eliten,conflictive,anti-elitism,(deceptive) specialists  
(vor)?täuschen (.*)medien,unaufrichtige eliten,conflictive,anti-elitism,deceptive media  
(vor)?täuschen (.* )?multis,unaufrichtige eliten,conflictive,anti-elitism,deceptive multis  
(vor)?täuschen (.* )?parteien,unaufrichtige eliten,conflictive,anti-elitism,deceptive parties  
(vor)?täusch(t|en) (.* )?bürokrat(en|in|innen)?,unaufrichtige eliten,conflictive,anti-elitism,deceptive bureaucrats  
(vor)?täusch(t|en) (.* )?bürokratie,unaufrichtige eliten,conflictive,anti-elitism,deceptive bureaucracy
(vor)?täusch(t|en) (.*)elite(n)?,unaufrichtige eliten,conflictive,anti-elitism,deceptive elite  
(vor)?täusch(t|en) (.*)establishment,unaufrichtige eliten,conflictive,anti-elitism,deceptive establishment  
(vor)?täusch(t|en) (.* )?expert(e|en|in|innen),unaufrichtige eliten,conflictive,anti-elitism,deceptive expert  
(vor)?täusch(t|en) (.* )?fachfrau(en)?,unaufrichtige eliten,conflictive,anti-elitism,deceptive professional woman  
(vor)?täusch(t|en) (.* )?fachm(a|ä)nn(er)?,unaufrichtige eliten,conflictive,anti-elitism,deceptive professional man  
(vor)?täusch(t|en) (.* )?forscher(innen|in)?,unaufrichtige eliten,conflictive,anti-elitism,deceptive researcher  
(vor)?täusch(t|en) (.* )?forschung,unaufrichtige eliten,conflictive,anti-elitism,deceptive research  
(vor)?täusch(t|en) (.* )?gelehrte(n|r)?,unaufrichtige eliten,conflictive,anti-elitism,deceptive scholar  
(vor)?täusch(t|en) (.* )?gro(ß|ss)unternehme(r|rin|rinnen|n)?,unaufrichtige eliten,conflictive,anti-elitism,deceptive large company  
(vor)?täusch(t|en) (.* )?herrschende(n|r)?,unaufrichtige eliten,conflictive,anti-elitism,deceptive prevailing
(vor)?täusch(t|en) (.* )?intellektuelle(n|r)?,unaufrichtige eliten,conflictive,anti-elitism,deceptive intellectual  
(vor)?täusch(t|en) (.* )?journalismus,unaufrichtige eliten,conflictive,anti-elitism,deceptive journalism  
(vor)?täusch(t|en) (.* )?journalist(en|in|innen)?,unaufrichtige eliten,conflictive,anti-elitism,deceptive journalists  
(vor)?täusch(t|en) (.*)kapitalist(en|in|innen)?,unaufrichtige eliten,conflictive,anti-elitism,deceptive capitalists  
(vor)?täusch(t|en) (.* )?konglomerat(e)?,unaufrichtige eliten,conflictive,anti-elitism,deceptive conglomerate  
(vor)?täusch(t|en) (.*)konzern(e)?,unaufrichtige eliten,conflictive,anti-elitism,deceptive corporation  
(vor)?täusch(t|en) (.* )?leistungsträger(innen|in)?,unaufrichtige eliten,conflictive,anti-elitism,deceptive influencers  
(vor)?täusch(t|en) (.* )?medienvertreter(innen|in)?,unaufrichtige eliten,conflictive,anti-elitism,deceptive media representatives  
(vor)?täusch(t|en) (.*)partei(en)?,unaufrichtige eliten,conflictive,anti-elitism,deceptive party  
(vor)?täusch(t|en) (.* )?politiker(innen|in)?,unaufrichtige eliten,conflictive,anti-elitism,deceptive politicians  
(vor)?täusch(t|en) (.* )?regent(en|in|innen)?,unaufrichtige eliten,conflictive,anti-elitism,deceptive rulers  
(vor)?täusch(t|en) (.* )?regierende(n|r)?,unaufrichtige eliten,conflictive,anti-elitism,deceptive governing  
(vor)?täusch(t|en) (.* )?regierung(en)?,unaufrichtige eliten,conflictive,anti-elitism,deceptive government  
(vor)?täusch(t|en) (.* )?souverän,unaufrichtige eliten,conflictive,anti-elitism,deceptive sovereign  
(vor)?täusch(t|en) (.* )?spezialist(en|in|innen)?,unaufrichtige eliten,conflictive,anti-elitism,deceptive specialist
(vor)?täusch(t|en) (.* )?system,unaufrichtige eliten,conflictive,anti-elitism,deceptive system  
(vor)?täusch(t|en) (.* )?wirtschaft,unaufrichtige eliten,conflictive,anti-elitism,deceptive economy  
(vor)?täusch(t|en) (.* )?wissenschaft(en)?,unaufrichtige eliten,conflictive,anti-elitism,deceptive science  
(vor)?täusch(t|en) (.* )?wissenschaft(l)?er(innen|in)?,unaufrichtige eliten,conflictive,anti-elitism,deceptive scientists  
wagen (.* )?fachleute,"abgehobene, dreiste eliten",conflictive,anti-elitism,experts in cars
wagen (.*)medien,"abgehobene, dreiste eliten",conflictive,anti-elitism,car media  
wagen (.* )?multis,"abgehobene, dreiste eliten",conflictive,anti-elitism,car multis  
wag(t|en) (.* )?bürokrat(en|in|innen)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,wager bureaucrats  
wag(t|en) (.* )?bürokratie,"abgehobene, dreiste eliten",conflictive,anti-elitism,wager bureaucracy  
wag(t|en) (.*)elite(n)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,wager elite  
wag(t|en) (.*)establishment,"abgehobene, dreiste eliten",conflictive,anti-elitism,establishment wait  
wag(t|en) (.* )?expert(e|en|in|innen),"abgehobene, dreiste eliten",conflictive,anti-elitism,expert wait  
wag(t|en) (.* )?fachfrau(en)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,specialist wait  
wag(t|en) (.* )?fachm(a|ä)nn(er)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,specialist wait  
wag(t|en) (.* )?forscher(innen|in)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,researcher wait  
wag(t|en) (.* )?forschung,"abgehobene, dreiste eliten",conflictive,anti-elitism,urge research  
wag(t|en) (.* )?gelehrte(n|r)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,urge scholars  
wag(t|en) (.* )?gro(ß|ss)unternehme(r|rin|rinnen|n)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,urge large companies  
wag(t|en) (.* )?herrschende(n|r)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,urge the ruling  
wag(t|en) (.* )?intellektuelle(n|r)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,urge intellectuals  
wag(t|en) (.* )?journalismus,"abgehobene, dreiste eliten",conflictive,anti-elitism,dare journalism  
wag(t|en) (.* )?journalist(en|in|innen)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,dare journalist  
wag(t|en) (.*)kapitalist(en|in|innen)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,dare capitalist  
wag(t|en) (.* )?konglomerat(e)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,dare conglomerate  
wag(t|en) (.*)konzern(e)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,dare corporate group
wag(t|en) (.* )?leistungsträger(innen|in)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,wage performance carriers  
wag(t|en) (.* )?medienvertreter(innen|in)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,wage media representatives  
wag(t|en) (.*)partei(en)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,wage parties  
wag(t|en) (.* )?politiker(innen|in)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,wage politicians  
wag(t|en) (.* )?regent(en|in|innen)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,wage rulers
wag(t|en) (.* )?regierende(n|r)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,weighing governing  
wag(t|en) (.* )?regierung(en)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,weighing government  
wag(t|en) (.* )?souverän,"abgehobene, dreiste eliten",conflictive,anti-elitism,weighing sovereign  
wag(t|en) (.* )?spezialist(en|in|innen)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,weighing specialists  
wag(t|en) (.* )?system,"abgehobene, dreiste eliten",conflictive,anti-elitism,weighing system  
wag(t|en) (.* )?wirtschaft,"abgehobene, dreiste eliten",conflictive,anti-elitism,economy wagging  
wag(t|en) (.* )?wissenschaft(en)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,science wagging  
wag(t|en) (.* )?wissenschaft(l)?er(innen|in)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,scientist wagging  
wahlberechtigten (.* )?aufbürde(t|n),den menschen aufzwingen,conflictive,anti-elitism,burden on voters  
wahlberechtigten (.* )?auferleg(t|en),den menschen aufzwingen,conflictive,anti-elitism,imposed on voters  
wahlberechtigten (.* )?aufhals(t|en),den menschen aufzwingen,conflictive,anti-elitism,voting rights imposed  
wahlberechtigten (.* )?aufnötig(t|en),den menschen aufzwingen,conflictive,anti-elitism,voting rights necessary  
wahlberechtigten (.* )?(auf)?oktroyier(t|en),den menschen aufzwingen,conflictive,anti-elitism,voting rights imposed  
wahlberechtigten (.* )?aufzwing(t|en),den menschen aufzwingen,conflictive,anti-elitism,voting rights enforced  
wahlberechtigten (.* )?bis (hier|da)(hin)? steh(t|en),menschen reicht es,advocative,people-centrism,voting rights standing here  
wahlberechtigten (.* )?diktier(t|en),den menschen aufzwingen,conflictive,anti-elitism,voters dictate  
wahlberechtigten häng(t|en) (.* )?zum hals(e)? (her|hin)aus,menschen reicht es,advocative,people-centrism,voters hang out to the neck  
wahlberechtigten (ist|sind|wird|werden|war|waren) (.* )?zu (bunt|blöd|dumm),menschen reicht es,advocative,people-centrism,voters are too colorful  
wahlberechtigten (langt|reicht) (es|das|dies),menschen reicht es,advocative,people-centrism,voters are enough  
wahlberechtigte(n|r)? (.* )?(die nase|die schnauze|satt|genug|dicke)( .*)? (haben|hat),menschen reicht es,advocative,people-centrism,voters have had enough
wahlberechtigte(n|r)? (haben|hat) (.* )?(die nase|die schnauze|satt|genug|dicke),menschen reicht es,advocative,people-centrism,voters are fed up  
wahlberechtigte(n|r)? (ist|sind|wird|werden|war|waren) (.* )?(leid|überdrüssig|müde|mit (ihrer|seiner) geduld am ende),menschen reicht es,advocative,people-centrism,voters are tired of  
wahlberechtigte(n|r)? (lassen|lässt) sich (.* )nicht ((länger|weiter|mehr) )?(gefallen|auf sich sitzen|bieten),menschen wehren sich,advocative,people-centrism,voters are not putting up with it any longer  
wahlberechtigte(n|r)? (.* )?(leid|überdrüssig|müde|mit (ihrer|seiner) geduld am ende) (ist|sein|wird|werden|war|waren|sein),menschen reicht es,advocative,people-centrism,voters are fed up  
wahlberechtigte(n|r)? (.* )?nicht (.* )?(länger|mehr) (hören|sehen) (will|kann|möchte(n)?|wollen|können),menschen reicht es,advocative,people-centrism,voters do not want to hear anymore
wahlberechtigte(n|r)? (.* )?nicht ((länger|weiter|mehr) )?(gefallen|auf sich sitzen|bieten) (lassen|lässt),menschen wehren sich,advocative,people-centrism,eligible voters do not let themselves be bothered  
wahlberechtigte(n|r)? setz(t|en) sich (.* )?zur wehr,menschen wehren sich,advocative,people-centrism,eligible voters defend themselves  
wahlberechtigte(n|r)? sich (.* )?(wehr|widersetz|verteidig)(t|en),menschen wehren sich,advocative,people-centrism,eligible voters resist  
wahlberechtigte(n|r)? (.* )?versteh(t|en),common sense,advocative,people-centrism,eligible voters understand  
wahlberechtigte(n|r)? (von|auf) der stra(ß|ss)e,normale menschen,advocative,people-centrism,eligible voters on the street  
wahlberechtigte(n|r)? von nebenan,normale menschen,advocative,people-centrism,eligible voters from next door  
wahlberechtigte(n|r)? (wehr|widersetz|verteidig)(t|en) sich,menschen wehren sich,advocative,people-centrism,eligible voters defend themselves  
wahlberechtigte(n|r)? (.* )?(wei(ß|ss)|wissen),common sense,advocative,people-centrism,eligible voters know  
wahlberechtigte(n|r)? (.* )?(will|(ein)?fordert|möchte|mag|verlangt|beansprucht|wünscht),volkswille,advocative,sovereignty,eligible voters want  
wahlberechtigte(n|r)? (will|kann|möchte(n)?|wollen|können) (.* )?nicht (.* )?(länger|mehr) (hören|sehen),menschen reicht es,advocative,people-centrism,eligible voters do not want to hear or see anymore
wahlberechtigte(n|r)? (.* )?(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen),volkswille,advocative,sovereignty,eligible voters want  
wahlberechtigte(n|r)? (.* )?zur wehr setz(t|en),menschen wehren sich,advocative,people-centrism,eligible voters defend  
wahlberechtigten steh(t|en) (.*) bis (hier|da)(hin)?,menschen reicht es,advocative,people-centrism,eligible voters stand until here  
wahlberechtigten (wille|wunsch|wünsche|anliegen|ansuchen|verlangen),volkswille,advocative,sovereignty,eligible voters will  
wahlberechtigten (.* )?zu (bunt|blöd|dumm) (ist|sein|wird|werden|war|waren|sein),menschen reicht es,advocative,people-centrism,eligible voters to colorful stupid is  
wahlberechtigten (.* )?zum hals(e)? (her|hin)aus häng(t|en),menschen reicht es,advocative,people-centrism,voters hanging by the neck  
wahlberechtigte(n)? (.* )?zwangsbeglück(t|en),den menschen aufzwingen,conflictive,anti-elitism,voters forcibly made happy  
wähler getäuscht,zzz_none,conflictive,anti-elitism,voter deceived  
wähler(innen|in)? (ist|sind|wird|werden|war|waren) (.* )?(leid|überdrüssig|müde|mit (ihrer|seiner) geduld am ende),menschen reicht es,advocative,people-centrism,voters are tired  
wähler(innen|in)? (lassen|lässt) sich (.* )nicht ((länger|weiter|mehr) )?(gefallen|auf sich sitzen|bieten),menschen wehren sich,advocative,people-centrism,voters do not allow (it) anymore
wähler(innen|in)? (.* )?(leid|überdrüssig|müde|mit (ihrer|seiner) geduld am ende) (ist|sein|wird|werden|war|waren|sein),menschen reicht es,advocative,people-centrism,voter is tired  
wähler(innen|in)? (.* )?nicht (.* )?(länger|mehr) (hören|sehen) (will|kann|möchte(n)?|wollen|können),menschen reicht es,advocative,people-centrism,voter no longer wants to listen  
wähler(innen|in)? (.* )?nicht ((länger|weiter|mehr) )?(gefallen|auf sich sitzen|bieten) (lassen|lässt),menschen wehren sich,advocative,people-centrism,voter will not be put off  
wähler(innen|in)? setz(t|en) sich (.* )?zur wehr,menschen wehren sich,advocative,people-centrism,voter defends themselves  
wähler(innen|in)? sich (.* )?(wehr|widersetz|verteidig)(t|en),menschen wehren sich,advocative,people-centrism,voter resists
wähler(innen|in)? (wehr|widersetz|verteidig)(t|en) sich,menschen wehren sich,advocative,people-centrism,voters defend themselves  
wähler(innen|in)? (will|kann|möchte(n)?|wollen|können) (.* )?nicht (.* )?(länger|mehr) (hören|sehen),menschen reicht es,advocative,people-centrism,voters do not want to hear or see anymore  
wähler(innen|in)? (.* )?zur wehr setz(t|en),menschen wehren sich,advocative,people-centrism,voters take up arms  
wähler(innen|in)? (.* )?zwangsbeglück(t|en),den menschen aufzwingen,conflictive,anti-elitism,voters are forcibly made happy  
wähler missbrauch(.*),zzz_none,conflictive,anti-elitism,voter abuse
wählermissbrauch,zzz_none,conflictive,anti-elitism,voter abuse  
wähler(n|innen|in)? (.* )?aufbürde(t|n),den menschen aufzwingen,conflictive,anti-elitism,voter burden  
wähler(n|innen|in)? (.* )?auferleg(t|en),den menschen aufzwingen,conflictive,anti-elitism,voter imposed  
wähler(n|innen|in)? (.* )?aufhals(t|en),den menschen aufzwingen,conflictive,anti-elitism,voter imposed upon  
wähler(n|innen|in)? (.* )?aufnötig(t|en),den menschen aufzwingen,conflictive,anti-elitism,voter forced upon
wähler(n|innen|in)? (.* )?(auf)?oktroyier(t|en),den menschen aufzwingen,conflictive,anti-elitism,voter economy imposed  
wähler(n|innen|in)? (.* )?aufzwing(t|en),den menschen aufzwingen,conflictive,anti-elitism,voter economy forced  
wähler(n|innen|in)? (.* )?bis (hier|da)(hin)? steh(t|en),menschen reicht es,advocative,people-centrism,voter economy stands here  
wähler(n|innen|in)? (.* )?diktier(t|en),den menschen aufzwingen,conflictive,anti-elitism,voter economy dictated  
wähler(n|innen|in)? häng(t|en) (.* )?zum hals(e)? (her|hin)aus,menschen reicht es,advocative,people-centrism,voter hanging to the neck out
wähler(n|innen|in)? (ist|sind|wird|werden|war|waren) (.* )?zu (bunt|blöd|dumm),menschen reicht es,advocative,people-centrism,voter is too colorful stupid  
wähler(n|innen|in)? (langt|reicht) (es|das|dies),menschen reicht es,advocative,people-centrism,voter is enough  
wähler(n|innen|in)? steh(t|en) (.*) bis (hier|da)(hin)?,menschen reicht es,advocative,people-centrism,voter stand until here  
wähler(n|innen|in)? (.* )?zu (bunt|blöd|dumm) (ist|sein|wird|werden|war|waren|sein),menschen reicht es,advocative,people-centrism,voter is too colorful stupid  
wähler(n|innen|in)? (.* )?zum hals(e)? (her|hin)aus häng(t|en),menschen reicht es,advocative,people-centrism,voter is fed up
wählerschaft (.* )?aufbürde(t|n),den menschen aufzwingen,conflictive,anti-elitism,voter burden  
wählerschaft (.* )?auferleg(t|en),den menschen aufzwingen,conflictive,anti-elitism,voter imposed  
wählerschaft (.* )?aufhals(t|en),den menschen aufzwingen,conflictive,anti-elitism,voter imposed  
wählerschaft (.* )?aufnötig(t|en),den menschen aufzwingen,conflictive,anti-elitism,voter forced  
wählerschaft (.* )?(auf)?oktroyier(t|en),den menschen aufzwingen,conflictive,anti-elitism,voter imposed
wählerschaft (.* )?aufzwing(t|en),den menschen aufzwingen,conflictive,anti-elitism,voter coercion  
wählerschaft (.* )?bis (hier|da)(hin)? steh(t|en),menschen reicht es,advocative,people-centrism,voter standing until here  
wählerschaft (.* )?(die nase|die schnauze|satt|genug|dicke)( .*)? (haben|hat),menschen reicht es,advocative,people-centrism,voter having had enough  
wählerschaft (.* )?diktier(t|en),den menschen aufzwingen,conflictive,anti-elitism,voter dictation  
wählerschaft (haben|hat) (.* )?(die nase|die schnauze|satt|genug|dicke),menschen reicht es,advocative,people-centrism,voter has had enough
wählerschaft häng(t|en) (.* )?zum hals(e)? (her|hin)aus,menschen reicht es,advocative,people-centrism,voters are fed up  
wählerschaft (ist|sind|wird|werden|war|waren) (.* )?(leid|überdrüssig|müde|mit (ihrer|seiner) geduld am ende),menschen reicht es,advocative,people-centrism,voters are tired of their patience running out  
wählerschaft (ist|sind|wird|werden|war|waren) (.* )?zu (bunt|blöd|dumm),menschen reicht es,advocative,people-centrism,voters are too colorful  
wählerschaft (langt|reicht) (es|das|dies),menschen reicht es,advocative,people-centrism,voters have had enough  
wählerschaft (lassen|lässt) sich (.* )nicht ((länger|weiter|mehr) )?(gefallen|auf sich sitzen|bieten),menschen wehren sich,advocative,people-centrism,voters will not tolerate this anymore
wählerschaft (.* )?(leid|überdrüssig|müde|mit (ihrer|seiner) geduld am ende) (ist|sein|wird|werden|war|waren|sein),menschen reicht es,advocative,people-centrism,electorate is tired  
wählerschaft (.* )?nicht (.* )?(länger|mehr) (hören|sehen) (will|kann|möchte(n)?|wollen|können),menschen reicht es,advocative,people-centrism,electorate no longer wants to listen  
wählerschaft (.* )?nicht ((länger|weiter|mehr) )?(gefallen|auf sich sitzen|bieten) (lassen|lässt),menschen wehren sich,advocative,people-centrism,electorate does not want to be taken for granted  
wählerschaft setz(t|en) sich (.* )?zur wehr,menschen wehren sich,advocative,people-centrism,electorate defends itself  
wählerschaft sich (.* )?(wehr|widersetz|verteidig)(t|en),menschen wehren sich,advocative,people-centrism,electorate resists  
wählerschaft steh(t|en) (.*) bis (hier|da)(hin)?,menschen reicht es,advocative,people-centrism,voter turnout until here  
wählerschaft (.* )?versteh(t|en),common sense,advocative,people-centrism,voter understanding  
wählerschaft (von|auf) der stra(ß|ss)e,normale menschen,advocative,people-centrism,voter from the street  
wählerschaft von nebenan,normale menschen,advocative,people-centrism,voter next door  
wählerschaft (wehr|widersetz|verteidig)(t|en) sich,menschen wehren sich,advocative,people-centrism,voter resist against
wählerschaft (.* )?wei(ß|ss),common sense,advocative,people-centrism,voter constituency white  
wählerschaft (.* )?(will|(ein)?fordert|möchte|mag|verlangt|beansprucht|wünscht),volkswille,advocative,sovereignty,voter constituency wants  
wählerschaft (wille|wunsch|wünsche|anliegen|ansuchen|verlangen),volkswille,advocative,sovereignty,voter constituency desire  
wählerschaft (will|kann|möchte(n)?|wollen|können) (.* )?nicht (.* )?(länger|mehr) (hören|sehen),menschen reicht es,advocative,people-centrism,voter constituency does not want to hear anymore  
wählerschaft (.* )?wissen,common sense,advocative,people-centrism,voter constituency want to know  
wählerschaft (.* )?(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen),volkswille,advocative,sovereignty,electorate wants  
wählerschaft (.* )?zu (bunt|blöd|dumm) (ist|sein|wird|werden|war|waren|sein),menschen reicht es,advocative,people-centrism,electorate is too colorful  
wählerschaft (.* )?zum hals(e)? (her|hin)aus häng(t|en),menschen reicht es,advocative,people-centrism,electorate is hanging out  
wählerschaft (.* )?zur wehr setz(t|en),menschen wehren sich,advocative,people-centrism,electorate defends  
wählerschaft (.* )?zwangsbeglück(t|en),den menschen aufzwingen,conflictive,anti-elitism,electorate is forcibly made happy  
wähler(s|innen|in)? (wille|wunsch|wünsche|anliegen|ansuchen|verlangen),volkswille,advocative,sovereignty,voter wish  
wähler(s|n|innen|in)? (von|auf) der stra(ß|ss)e,normale menschen,advocative,people-centrism,voter of the street  
wähler(s|n|innen|in)? von nebenan,normale menschen,advocative,people-centrism,neighboring voter  
wahlvolk (.* )?(die nase|die schnauze|satt|genug|dicke)( .*)? (haben|hat),menschen reicht es,advocative,people-centrism,electorate is fed up  
wahlvolk(e)? (.* )?aufbürde(t|n),den menschen aufzwingen,conflictive,anti-elitism,electorate burden
wahlvolk(e)? (.* )?auferleg(t|en),den menschen aufzwingen,conflictive,anti-elitism,electorate imposed  
wahlvolk(e)? (.* )?aufhals(t|en),den menschen aufzwingen,conflictive,anti-elitism,electorate forced upon  
wahlvolk(e)? (.* )?aufnötig(t|en),den menschen aufzwingen,conflictive,anti-elitism,electorate coerced  
wahlvolk(e)? (.* )?(auf)?oktroyier(t|en),den menschen aufzwingen,conflictive,anti-elitism,electorate imposed on  
wahlvolk(e)? (.* )?aufzwing(t|en),den menschen aufzwingen,conflictive,anti-elitism,electorate enforced
wahlvolk(e)? (.* )?bis (hier|da)(hin)? steh(t|en),menschen reicht es,advocative,people-centrism,electorate until here  
wahlvolk(e)? (.* )?diktier(t|en),den menschen aufzwingen,conflictive,anti-elitism,electorate dictating  
wahlvolk(e)? häng(t|en) (.* )?zum hals(e)? (her|hin)aus,menschen reicht es,advocative,people-centrism,electorate hanging by the neck  
wahlvolk(e)? (ist|sind|wird|werden|war|waren) (.* )?zu (bunt|blöd|dumm),menschen reicht es,advocative,people-centrism,electorate is too colorful  
wahlvolk(e)? (langt|reicht) (es|das|dies),menschen reicht es,advocative,people-centrism,electorate is enough  
wahlvolk(e)? steh(t|en) (.*) bis (hier|da)(hin)?,menschen reicht es,advocative,people-centrism,electorate stands until here  
wahlvolk(e)? (.* )?zu (bunt|blöd|dumm) (ist|sein|wird|werden|war|waren|sein),menschen reicht es,advocative,people-centrism,electorate is too colorful  
wahlvolk(e)? (.* )?zum hals(e)? (her|hin)aus häng(t|en),menschen reicht es,advocative,people-centrism,electorate is fed up  
wahlvolk (haben|hat) (.* )?(die nase|die schnauze|satt|genug|dicke),menschen reicht es,advocative,people-centrism,electorate has had enough  
wahlvolk (ist|sind|wird|werden|war|waren) (.* )?(leid|überdrüssig|müde|mit (ihrer|seiner) geduld am ende),menschen reicht es,advocative,people-centrism,electorate is tired of
wahlvolk (lassen|lässt) sich (.* )nicht ((länger|weiter|mehr) )?(gefallen|auf sich sitzen|bieten),menschen wehren sich,advocative,people-centrism,electorate does not tolerate any longer  
wahlvolk (.* )?(leid|überdrüssig|müde|mit (ihrer|seiner) geduld am ende) (ist|sein|wird|werden|war|waren|sein),menschen reicht es,advocative,people-centrism,electorate is tired  
wahlvolk (.* )?nicht (.* )?(länger|mehr) (hören|sehen) (will|kann|möchte(n)?|wollen|können),menschen reicht es,advocative,people-centrism,electorate does not want to hear anymore  
wahlvolk (.* )?nicht ((länger|weiter|mehr) )?(gefallen|auf sich sitzen|bieten) (lassen|lässt),menschen wehren sich,advocative,people-centrism,electorate will not be taken for granted any longer  
wahlvolk(s|es|e)? (von|auf) der stra(ß|ss)e,normale menschen,advocative,people-centrism,electorate on the street  
wahlvolk(s|es|e)? von nebenan,normale menschen,advocative,people-centrism,voting public from next door  
wahlvolk(s|es) (wille|wunsch|wünsche|anliegen|ansuchen|verlangen),volkswille,advocative,sovereignty,voting public will  
wahlvolk setz(t|en) sich (.* )?zur wehr,menschen wehren sich,advocative,people-centrism,voting public defends itself  
